match_id,date,team1,team2,venue,city,toss_winner,toss_decision,winner,match_type,outcome_result
1491605,2025-07-10,Turkey,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Sofia,Bulgaria,field,Bulgaria,T20,completed
1491606,2025-07-11,Turkey,Gibraltar,"Vassil Levski National Sports Academy, Sofia",Sofia,Gibraltar,field,Gibraltar,T20,completed
1491607,2025-07-11,Gibraltar,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Sofia,Bulgaria,field,Bulgaria,T20,completed
1491608,2025-07-12,Turkey,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Sofia,Bulgaria,field,Turkey,T20,completed
1491609,2025-07-12,Turkey,Gibraltar,"Vassil Levski National Sports Academy, Sofia",Sofia,Turkey,bat,Gibraltar,T20,completed
1491610,2025-07-13,Gibraltar,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Sofia,Bulgaria,field,Bulgaria,T20,completed
1491714,2025-10-01,New Zealand,Australia,"Bay Oval, Mount Maunganui",Mount Maunganui,Australia,field,Australia,T20,completed
1491716,2025-10-04,New Zealand,Australia,"Bay Oval, Mount Maunganui",Mount Maunganui,Australia,field,Australia,T20,completed
1491718,2025-10-20,England,New Zealand,"Hagley Oval, Christchurch",Christchurch,New Zealand,field,England,T20,completed
1491723,2025-11-05,West Indies,New Zealand,"Eden Park, Auckland",Auckland,New Zealand,field,West Indies,T20,completed
1491724,2025-11-06,New Zealand,West Indies,"Eden Park, Auckland",Auckland,West Indies,field,New Zealand,T20,completed
1491725,2025-11-09,New Zealand,West Indies,"Saxton Oval, Nelson",Nelson,New Zealand,bat,New Zealand,T20,completed
1491727,2025-11-13,West Indies,New Zealand,"University Oval, Dunedin",Dunedin,New Zealand,field,New Zealand,T20,completed
1491735,2026-03-15,New Zealand,South Africa,"Bay Oval, Mount Maunganui",Mount Maunganui,New Zealand,bat,South Africa,T20,completed
1491736,2026-03-17,New Zealand,South Africa,"Seddon Park, Hamilton",Hamilton,South Africa,field,New Zealand,T20,completed
1491737,2026-03-20,South Africa,New Zealand,"Eden Park, Auckland",Auckland,New Zealand,field,New Zealand,T20,completed
1491738,2026-03-22,South Africa,New Zealand,"Sky Stadium, Wellington",Wellington,South Africa,bat,South Africa,T20,completed
1491739,2026-03-25,South Africa,New Zealand,"Hagley Oval, Christchurch",Christchurch,New Zealand,field,South Africa,T20,completed
1491903,2025-07-20,Pakistan,Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,field,Bangladesh,T20,completed
1491904,2025-07-22,Bangladesh,Pakistan,"Shere Bangla National Stadium, Mirpur",Dhaka,Pakistan,field,Bangladesh,T20,completed
1491905,2025-07-24,Pakistan,Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,field,Pakistan,T20,completed
1492823,2025-09-03,Zimbabwe,Sri Lanka,Harare Sports Club,Harare,Sri Lanka,field,Sri Lanka,T20,completed
1492824,2025-09-06,Sri Lanka,Zimbabwe,Harare Sports Club,Harare,Zimbabwe,field,Zimbabwe,T20,completed
1492825,2025-09-07,Zimbabwe,Sri Lanka,Harare Sports Club,Harare,Sri Lanka,field,Sri Lanka,T20,completed
1492879,2025-07-08,Bahrain,Tanzania,"TCA Oval, Blantyre",Blantyre,Tanzania,field,Tanzania,T20,completed
1492880,2025-07-05,Malawi,Germany,"TCA Oval, Blantyre",Blantyre,Germany,field,Germany,T20,completed
1492881,2025-07-06,Bahrain,Germany,"TCA Oval, Blantyre",Blantyre,Bahrain,bat,Bahrain,T20,completed
1492883,2025-07-07,Tanzania,Germany,"TCA Oval, Blantyre",Blantyre,Tanzania,bat,Germany,T20,completed
